,Product,Price_range,Brand,Memory,RAM
111,Dell Latitude 7210 2-in-1 Laptop/Tablet i5-10310U 1.70GHz 256GB SSD 16GB DDR3 B-,327.25,Dell,32,32
112,DELL CHROMEBOOK LAPTOP,12.00,Other,1000,32
113,"2023 HP Pavilion 15.6"" HD Laptop, Intel N5030, Upto 3.1GHz, 32GB RAM, 1TB SSD",349.00 to 509.00,HP,128,8
114,Fast HP EliteBook 840 G5 Laptops Sleek Thin & Light Design SSD Webcam i5 8th Gen,224.99 to 424.99,HP,512,16
115,Microsoft Surface Laptop Go 2 12.4” i5 1135G7 8GB 128GB 8QD-00023 New Wnty,369.00,Microsoft,0,8
116,"LG Gram 14"" (1920 x 1200) Laptop i7-1260P 16GB 512GB SSD Black 14ZB90Q-G.AAC6U1",599.00,LG,0,8
117,"Lenovo ThinkPad T480 Laptop 14"" Core i5 8GB Ram 256G SSD Windows 10 WiFi",169.00,Lenovo,0,8
118,Dell Latitude Laptop 15.6” Screen Intel Core 8GB Ram 250GB HDMI WiFi Windows 10,198.54,Dell,0,0
119,"New ListingDell Inspiron 15-7559 15"" Intel Core i7 8GB RAM, nVIDIA GTX 960M Laptop (No HDD)",152.50,Dell,256,16
120,Fast HP EliteBook 840 G5 Laptops Sleek Thin & Light Design SSD Webcam i5 7th Gen,239.99 to 379.99,HP,0,0
121,Lenovo Thinkpad X1 Carbon 6th Gen i5-8350U 16GB Ram 256GB SSD FHD W10P,279.99,Lenovo,1000,8
122,HP stream11-N2840 11.6 in Celeron 2.16 GHz 2 GB Rams 32 GB SSD Window 10 Home AC,49.99,HP,0,0
123,"Dell Latitude Laptop Computer PC 15.6"" Core i5 8GB Ram 1TB Windows 10 WiFi DVD",189.99,Dell,256,8
124,✨Lenovo Thinkpad Yoga 12 Laptop Core i5 ✨4GB RAM 128GB SSD Window 10 ✨Warranty,199.00,Lenovo,2000,64
125,"Dell Latitude 15.6"" Laptop Intel Core i5 Light Gaming Business 64GB RAM 2TB SSD",218.99 to 798.99,Dell,16,16
126,"Dell 15.6"" Gaming Laptop - Intel Quad Core i5 3.40GHz 64GB RAM 2TB SSD Win11 Pro",318.99 to 878.99,Dell,2000,64
127,"Dell Light Gaming Business 14"" Laptop Intel Quad Core i5 3.6GHz 64GB RAM 2TB SSD",228.99 to 778.99,Dell,512,16
128,Windows11 install Disk,8.74,Other,0,0
